,gender,race,age,number of prior convictions,recidivist,recidivism risk score,first name,last name,full name,risk assessment date,date of birth
120,Male,Caucasian,44,2,0,4,John,Doe,John Doe,2017-03-13,1973-03-13
121,Female,Caucasian,31,1,0,2,Jane,Doe,Jane Doe,2018-07-30,1987-07-30
122,Female,African-American,30,2,0,2,Jane,Doe,Jane Doe,2017-02-07,1987-02-07
123,Male,Caucasian,28,0,0,1,John,Doe,John Doe,2019-10-30,1991-10-30
124,Male,Other,66,0,0,1,John,Doe,John Doe,2017-10-26,1951-10-26
125,Male,Caucasian,37,3,0,8,John,Doe,John Doe,2019-07-21,1982-07-21
126,Female,African-American,28,4,0,4,Jane,Doe,Jane Doe,2019-08-28,1991-08-28
127,Male,Caucasian,20,1,0,4,John,Doe,John Doe,2018-03-19,1998-03-19
128,Male,Caucasian,44,1,0,8,John,Doe,John Doe,2019-12-31,1975-12-31
129,Male,African-American,25,5,1,8,John,Doe,John Doe,2017-11-22,1992-11-21
130,Female,African-American,24,0,0,2,Jane,Doe,Jane Doe,2018-01-30,1994-01-30
131,Male,African-American,23,1,0,6,John,Doe,John Doe,2017-01-27,1994-01-27
132,Female,Hispanic,22,0,0,2,Jane,Doe,Jane Doe,2019-01-16,1997-01-15
133,Female,African-American,27,3,1,9,Jane,Doe,Jane Doe,2017-03-17,1990-03-17
134,Male,Hispanic,54,2,0,1,John,Doe,John Doe,2018-10-27,1964-10-26
135,Male,African-American,30,3,1,2,John,Doe,John Doe,2017-10-14,1987-10-14
136,Female,African-American,30,4,0,5,Jane,Doe,Jane Doe,2019-10-11,1989-10-10
137,Male,African-American,27,1,0,2,John,Doe,John Doe,2017-06-18,1990-06-18
138,Male,Caucasian,63,10,1,4,John,Doe,John Doe,2019-02-12,1956-02-12
139,Male,Other,30,0,0,1,John,Doe,John Doe,2019-09-06,1989-09-05
140,Male,Caucasian,21,0,1,3,John,Doe,John Doe,2019-10-28,1998-10-27
141,Male,African-American,25,3,0,6,John,Doe,John Doe,2017-11-12,1992-11-11
142,Male,African-American,57,3,0,1,John,Doe,John Doe,2019-09-11,1962-09-11
143,Male,Caucasian,24,4,0,8,John,Doe,John Doe,2017-03-03,1993-03-03
144,Male,African-American,27,1,1,2,John,Doe,John Doe,2018-09-16,1991-09-16
145,Male,African-American,34,15,0,7,John,Doe,John Doe,2017-04-26,1983-04-26
146,Female,Hispanic,35,0,0,2,Jane,Doe,Jane Doe,2017-11-15,1982-11-15
147,Female,Other,48,0,0,1,Jane,Doe,Jane Doe,2019-01-24,1971-01-24
148,Male,African-American,50,0,0,1,John,Doe,John Doe,2018-04-09,1968-04-08
149,Male,Caucasian,57,1,0,2,John,Doe,John Doe,2018-01-11,1961-01-11
150,Female,African-American,28,9,1,9,Jane,Doe,Jane Doe,2017-09-22,1989-09-22
151,Male,Caucasian,34,0,0,1,John,Doe,John Doe,2018-04-07,1984-04-06
152,Male,African-American,33,5,0,4,John,Doe,John Doe,2019-07-31,1986-07-30
153,Male,African-American,25,5,0,5,John,Doe,John Doe,2019-12-23,1994-12-22
154,Male,Caucasian,49,1,0,1,John,Doe,John Doe,2018-08-22,1969-08-22
155,Male,African-American,47,1,0,1,John,Doe,John Doe,2019-04-08,1972-04-07
156,Male,Other,60,4,0,1,John,Doe,John Doe,2017-09-15,1957-09-15
157,Male,African-American,25,0,0,7,John,Doe,John Doe,2017-07-30,1992-07-29
158,Male,Caucasian,36,2,0,1,John,Doe,John Doe,2017-09-17,1981-09-17
159,Male,Caucasian,43,4,0,2,John,Doe,John Doe,2018-08-05,1975-08-05
160,Male,African-American,46,0,0,2,John,Doe,John Doe,2018-10-19,1972-10-18
161,Male,African-American,23,0,0,3,John,Doe,John Doe,2019-07-30,1996-07-29
162,Male,Caucasian,57,0,0,1,John,Doe,John Doe,2018-12-31,1961-12-31
163,Female,African-American,37,7,0,3,Jane,Doe,Jane Doe,2018-10-22,1981-10-22
164,Male,Other,66,0,0,1,John,Doe,John Doe,2018-03-20,1952-03-19
165,Male,African-American,26,6,0,8,John,Doe,John Doe,2017-12-29,1991-12-29
166,Male,African-American,55,0,0,1,John,Doe,John Doe,2017-12-21,1962-12-21
167,Male,African-American,25,1,0,2,John,Doe,John Doe,2017-06-29,1992-06-28
168,Male,Hispanic,26,0,0,1,John,Doe,John Doe,2017-03-24,1991-03-24
169,Male,Caucasian,47,2,0,4,John,Doe,John Doe,2017-01-26,1970-01-26
170,Female,African-American,33,3,0,4,Jane,Doe,Jane Doe,2019-02-05,1986-02-04
171,Male,African-American,29,2,0,6,John,Doe,John Doe,2017-12-05,1988-12-04
172,Male,African-American,47,5,0,6,John,Doe,John Doe,2018-04-12,1971-04-12
173,Male,African-American,23,4,0,10,John,Doe,John Doe,2017-01-16,1994-01-16
174,Male,African-American,36,0,0,1,John,Doe,John Doe,2017-02-07,1981-02-07
175,Male,African-American,32,0,0,3,John,Doe,John Doe,2019-04-24,1987-04-24
176,Male,African-American,28,0,1,3,John,Doe,John Doe,2018-09-18,1990-09-18
177,Female,African-American,74,0,0,1,Jane,Doe,Jane Doe,2019-03-05,1945-03-05
178,Male,African-American,30,0,1,2,John,Doe,John Doe,2018-03-14,1988-03-13
179,Male,African-American,63,6,0,3,John,Doe,John Doe,2018-12-30,1955-12-30
180,Male,African-American,51,1,0,2,John,Doe,John Doe,2019-01-23,1968-01-23
181,Male,Caucasian,32,0,0,1,John,Doe,John Doe,2019-12-27,1987-12-27
182,Male,Caucasian,25,0,0,3,John,Doe,John Doe,2017-01-27,1992-01-27
183,Male,Caucasian,25,6,1,8,John,Doe,John Doe,2019-04-30,1994-04-29
184,Male,African-American,45,4,0,2,John,Doe,John Doe,2019-08-14,1974-08-14
185,Female,African-American,24,0,0,7,Jane,Doe,Jane Doe,2017-05-26,1993-05-26
186,Female,Caucasian,57,2,0,1,Jane,Doe,Jane Doe,2018-03-14,1961-03-14
187,Male,Other,24,1,1,4,John,Doe,John Doe,2019-04-04,1995-04-04
188,Female,African-American,40,15,1,7,Jane,Doe,Jane Doe,2019-08-03,1979-08-03
189,Male,African-American,33,7,1,6,John,Doe,John Doe,2019-08-11,1986-08-10
190,Male,African-American,31,2,0,1,John,Doe,John Doe,2017-03-21,1986-03-21
191,Female,Caucasian,22,2,0,3,Jane,Doe,Jane Doe,2019-06-09,1997-06-08
192,Male,African-American,60,12,0,3,John,Doe,John Doe,2018-04-21,1958-04-21
193,Male,Hispanic,38,1,0,1,John,Doe,John Doe,2018-11-10,1980-11-09
194,Male,African-American,29,0,0,3,John,Doe,John Doe,2018-10-02,1989-10-01
195,Male,African-American,22,3,0,7,John,Doe,John Doe,2018-06-16,1996-06-15
196,Male,African-American,23,0,0,8,John,Doe,John Doe,2017-05-12,1994-05-12
197,Male,Asian,24,0,0,3,John,Doe,John Doe,2019-01-08,1995-01-08
198,Male,Caucasian,31,6,0,7,John,Doe,John Doe,2019-11-19,1988-11-18
199,Male,African-American,26,0,0,2,John,Doe,John Doe,2018-08-30,1992-08-29
200,Male,African-American,54,10,0,6,John,Doe,John Doe,2017-05-13,1963-05-13
201,Male,African-American,27,6,0,10,John,Doe,John Doe,2019-05-03,1992-05-02
202,Male,Caucasian,47,5,0,2,John,Doe,John Doe,2017-02-06,1970-02-06
203,Male,Other,49,0,1,1,John,Doe,John Doe,2018-04-02,1969-04-02
204,Female,African-American,24,0,0,2,Jane,Doe,Jane Doe,2019-11-16,1995-11-16
205,Male,Hispanic,55,0,0,1,John,Doe,John Doe,2018-03-15,1963-03-15
206,Male,African-American,38,0,0,5,John,Doe,John Doe,2018-06-17,1980-06-16
207,Male,Caucasian,61,0,0,1,John,Doe,John Doe,2019-05-22,1958-05-22
208,Male,Caucasian,25,0,0,3,John,Doe,John Doe,2018-08-07,1993-08-06
209,Male,Caucasian,31,6,0,4,John,Doe,John Doe,2017-11-23,1986-11-23
210,Female,Other,48,0,0,1,Jane,Doe,Jane Doe,2019-03-09,1971-03-09
211,Male,Caucasian,70,0,0,1,John,Doe,John Doe,2019-06-02,1949-06-02
212,Male,African-American,27,13,1,8,John,Doe,John Doe,2017-02-23,1990-02-23
213,Male,African-American,25,0,0,6,John,Doe,John Doe,2019-05-14,1994-05-13
214,Male,Caucasian,30,3,0,4,John,Doe,John Doe,2019-04-07,1989-04-06
215,Male,African-American,27,3,0,2,John,Doe,John Doe,2017-10-01,1990-10-01
216,Male,African-American,35,8,0,6,John,Doe,John Doe,2018-07-24,1983-07-24
217,Male,African-American,39,1,0,4,John,Doe,John Doe,2019-04-01,1980-03-31
218,Male,Hispanic,21,0,0,10,John,Doe,John Doe,2017-03-07,1996-03-06
219,Male,African-American,24,0,1,5,John,Doe,John Doe,2017-01-13,1993-01-13
220,Male,Caucasian,39,6,0,6,John,Doe,John Doe,2019-02-07,1980-02-07
221,Male,African-American,24,0,0,8,John,Doe,John Doe,2017-02-28,1993-02-28
222,Male,African-American,32,12,1,8,John,Doe,John Doe,2018-06-01,1986-06-01
223,Female,Caucasian,42,0,0,1,Jane,Doe,Jane Doe,2018-12-30,1976-12-29
224,Male,African-American,29,0,0,2,John,Doe,John Doe,2017-08-03,1988-08-02
225,Male,African-American,42,0,0,7,John,Doe,John Doe,2017-07-30,1975-07-30
226,Female,Caucasian,22,0,0,5,Jane,Doe,Jane Doe,2017-07-22,1995-07-22
227,Male,Caucasian,63,0,0,1,John,Doe,John Doe,2017-08-14,1954-08-14
228,Male,Caucasian,27,1,0,2,John,Doe,John Doe,2017-10-17,1990-10-17
229,Female,African-American,30,2,0,2,Jane,Doe,Jane Doe,2019-11-12,1989-11-11
230,Male,African-American,25,0,0,2,John,Doe,John Doe,2017-01-19,1992-01-19
231,Male,Caucasian,41,0,0,2,John,Doe,John Doe,2017-08-23,1976-08-23
232,Male,Other,21,0,1,3,John,Doe,John Doe,2019-10-26,1998-10-25
233,Male,African-American,55,0,0,1,John,Doe,John Doe,2018-12-15,1963-12-15
234,Male,Caucasian,26,1,0,4,John,Doe,John Doe,2019-11-02,1993-11-01
235,Male,Hispanic,35,0,1,2,John,Doe,John Doe,2018-01-17,1983-01-17
236,Male,African-American,23,3,1,7,John,Doe,John Doe,2019-05-06,1996-05-05
237,Male,Hispanic,45,8,0,7,John,Doe,John Doe,2017-03-19,1972-03-19
238,Male,African-American,46,2,0,7,John,Doe,John Doe,2018-11-27,1972-11-26
239,Male,Caucasian,41,1,0,6,John,Doe,John Doe,2019-09-18,1978-09-18
240,Male,Caucasian,42,1,1,3,John,Doe,John Doe,2019-01-01,1976-12-31
241,Male,African-American,55,1,0,1,John,Doe,John Doe,2018-04-01,1963-04-01
242,Female,African-American,34,0,1,3,Jane,Doe,Jane Doe,2017-01-20,1983-01-20
243,Male,Caucasian,61,4,0,6,John,Doe,John Doe,2019-02-20,1958-02-20
244,Male,Caucasian,31,3,1,2,John,Doe,John Doe,2019-06-05,1988-06-04
245,Male,African-American,35,1,0,4,John,Doe,John Doe,2017-02-22,1982-02-22
246,Male,Hispanic,60,0,0,1,John,Doe,John Doe,2017-11-16,1957-11-16
247,Male,Caucasian,21,2,0,6,John,Doe,John Doe,2018-08-24,1997-08-23
248,Female,African-American,35,9,0,8,Jane,Doe,Jane Doe,2019-12-10,1984-12-09
249,Male,African-American,27,3,1,8,John,Doe,John Doe,2018-08-11,1991-08-11
250,Male,African-American,29,8,1,10,John,Doe,John Doe,2019-02-16,1990-02-15
251,Male,Caucasian,58,2,0,5,John,Doe,John Doe,2017-04-02,1959-04-02
252,Male,Hispanic,24,1,0,4,John,Doe,John Doe,2019-07-10,1995-07-10
253,Male,African-American,20,1,1,8,John,Doe,John Doe,2018-04-17,1998-04-17
254,Male,African-American,41,2,0,1,John,Doe,John Doe,2018-02-14,1977-02-14
255,Female,Caucasian,44,1,0,1,Jane,Doe,Jane Doe,2018-12-28,1974-12-28
256,Male,Caucasian,30,0,0,3,John,Doe,John Doe,2017-11-28,1987-11-28
257,Male,Asian,48,0,0,1,John,Doe,John Doe,2019-03-16,1971-03-16
258,Male,Other,26,0,0,2,John,Doe,John Doe,2018-08-08,1992-08-07
259,Male,African-American,28,16,1,8,John,Doe,John Doe,2017-08-07,1989-08-07
260,Male,Caucasian,26,5,0,4,John,Doe,John Doe,2019-11-02,1993-11-01
261,Male,African-American,39,2,1,3,John,Doe,John Doe,2018-03-04,1979-03-04
262,Male,African-American,26,1,0,5,John,Doe,John Doe,2018-09-25,1992-09-24
263,Male,African-American,44,2,0,2,John,Doe,John Doe,2019-03-01,1975-03-01
264,Male,Caucasian,67,1,0,3,John,Doe,John Doe,2018-10-17,1951-10-17
265,Male,Caucasian,24,0,0,4,John,Doe,John Doe,2018-10-01,1994-10-01
266,Male,African-American,28,3,0,2,John,Doe,John Doe,2017-05-02,1989-05-02
267,Male,Caucasian,32,8,1,4,John,Doe,John Doe,2017-08-28,1985-08-28
268,Male,African-American,30,5,1,9,John,Doe,John Doe,2019-03-20,1989-03-19
269,Male,Caucasian,22,1,0,5,John,Doe,John Doe,2017-12-29,1995-12-29
270,Female,Caucasian,30,0,0,2,Jane,Doe,Jane Doe,2018-09-09,1988-09-08
271,Male,African-American,57,3,0,1,John,Doe,John Doe,2017-01-17,1960-01-18
272,Male,African-American,54,11,0,9,John,Doe,John Doe,2017-07-22,1963-07-22
273,Male,Caucasian,33,3,1,4,John,Doe,John Doe,2018-08-06,1985-08-05
274,Male,Caucasian,37,0,0,3,John,Doe,John Doe,2017-11-10,1980-11-10
275,Male,African-American,32,2,1,7,John,Doe,John Doe,2018-04-08,1986-04-08
276,Male,Caucasian,43,0,0,1,John,Doe,John Doe,2018-06-23,1975-06-23
277,Male,Hispanic,41,1,0,1,John,Doe,John Doe,2017-03-11,1976-03-11
278,Male,African-American,41,0,0,7,John,Doe,John Doe,2018-01-15,1977-01-15
279,Female,African-American,43,2,0,3,Jane,Doe,Jane Doe,2017-05-04,1974-05-04
280,Male,African-American,21,1,1,10,John,Doe,John Doe,2018-06-22,1997-06-21
281,Male,Caucasian,25,5,1,8,John,Doe,John Doe,2017-11-10,1992-11-09
282,Male,Caucasian,49,0,0,1,John,Doe,John Doe,2018-05-31,1969-05-31
283,Male,Other,66,0,0,1,John,Doe,John Doe,2018-03-18,1952-03-17
284,Female,African-American,42,2,0,3,Jane,Doe,Jane Doe,2019-10-07,1977-10-06
285,Male,African-American,44,0,0,2,John,Doe,John Doe,2018-12-13,1974-12-13
286,Male,African-American,41,9,0,9,John,Doe,John Doe,2017-05-31,1976-05-31
287,Male,African-American,27,12,1,8,John,Doe,John Doe,2019-02-07,1992-02-07
288,Male,African-American,26,5,1,7,John,Doe,John Doe,2019-02-09,1993-02-08
289,Male,Caucasian,39,0,0,2,John,Doe,John Doe,2017-04-27,1978-04-27
290,Male,African-American,42,0,0,5,John,Doe,John Doe,2018-02-06,1976-02-06
291,Male,African-American,26,10,1,9,John,Doe,John Doe,2019-02-16,1993-02-15
292,Male,African-American,42,7,0,1,John,Doe,John Doe,2019-10-23,1977-10-22
293,Male,Hispanic,27,1,0,1,John,Doe,John Doe,2018-10-28,1991-10-28
294,Male,African-American,28,2,1,4,John,Doe,John Doe,2018-03-14,1990-03-14
295,Male,African-American,69,22,0,5,John,Doe,John Doe,2019-03-18,1950-03-18
296,Female,Other,37,0,0,1,Jane,Doe,Jane Doe,2018-01-03,1981-01-03
297,Female,Other,28,1,0,2,Jane,Doe,Jane Doe,2019-07-18,1991-07-18
298,Male,African-American,26,3,1,6,John,Doe,John Doe,2017-05-26,1991-05-26
299,Male,African-American,53,13,0,5,John,Doe,John Doe,2019-10-17,1966-10-17
300,Male,Caucasian,31,0,0,1,John,Doe,John Doe,2018-04-06,1987-04-06
301,Male,Asian,26,2,1,3,John,Doe,John Doe,2019-01-12,1993-01-11
302,Female,Caucasian,46,2,0,8,Jane,Doe,Jane Doe,2019-10-24,1973-10-23
303,Male,Other,36,0,0,1,John,Doe,John Doe,2017-02-23,1981-02-23
304,Male,Caucasian,21,0,1,8,John,Doe,John Doe,2018-01-09,1997-01-08
305,Female,African-American,37,0,0,4,Jane,Doe,Jane Doe,2018-07-22,1981-07-22
306,Male,African-American,22,4,1,9,John,Doe,John Doe,2018-10-10,1996-10-09
307,Female,Hispanic,24,1,0,3,Jane,Doe,Jane Doe,2018-08-26,1994-08-26
308,Male,African-American,61,2,0,8,John,Doe,John Doe,2018-09-09,1957-09-09
309,Male,African-American,53,6,1,2,John,Doe,John Doe,2017-03-14,1964-03-14
310,Female,African-American,25,1,0,9,Jane,Doe,Jane Doe,2018-02-21,1993-02-20
311,Male,Caucasian,48,0,0,7,John,Doe,John Doe,2019-02-06,1971-02-06
312,Male,Other,23,7,1,6,John,Doe,John Doe,2019-11-19,1996-11-18
313,Female,African-American,22,1,0,4,Jane,Doe,Jane Doe,2017-02-09,1995-02-09
314,Male,African-American,25,2,0,9,John,Doe,John Doe,2018-08-23,1993-08-22
315,Female,Caucasian,34,0,0,3,Jane,Doe,Jane Doe,2019-08-22,1985-08-21
316,Male,Other,51,2,0,1,John,Doe,John Doe,2017-03-13,1966-03-13
317,Male,Caucasian,26,1,0,2,John,Doe,John Doe,2017-05-06,1991-05-06
318,Male,African-American,27,13,1,7,John,Doe,John Doe,2017-08-20,1990-08-20
319,Male,Hispanic,21,2,1,5,John,Doe,John Doe,2018-04-27,1997-04-26
